,output product,import requirements,value
10506,Mining support services,Sports Activities And Amusement And Recreation Activities,0
10507,Preserved meat and meat products,Sports Activities And Amusement And Recreation Activities,0
10508,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",Sports Activities And Amusement And Recreation Activities,0
10509,Vegetable and animal oils and fats,Sports Activities And Amusement And Recreation Activities,0
10510,Dairy products,Sports Activities And Amusement And Recreation Activities,0
10511,"Grain mill products, starches and starch products",Sports Activities And Amusement And Recreation Activities,0
10512,Bakery and farinaceous products,Sports Activities And Amusement And Recreation Activities,0
10513,Other food products,Sports Activities And Amusement And Recreation Activities,0
10514,Prepared animal feeds,Sports Activities And Amusement And Recreation Activities,0
10515,Alcoholic beverages  & Tobacco products,Sports Activities And Amusement And Recreation Activities,6
10516,Soft drinks,Sports Activities And Amusement And Recreation Activities,0
10517,Textiles,Sports Activities And Amusement And Recreation Activities,2
10518,Wearing apparel,Sports Activities And Amusement And Recreation Activities,12
10519,Leather and related products,Sports Activities And Amusement And Recreation Activities,1
10520,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Sports Activities And Amusement And Recreation Activities,0
10521,Paper and paper products,Sports Activities And Amusement And Recreation Activities,0
10522,Printing and recording services,Sports Activities And Amusement And Recreation Activities,0
10523,Coke and refined petroleum products,Sports Activities And Amusement And Recreation Activities,2
10524,"Paints, varnishes and similar coatings, printing ink and mastics",Sports Activities And Amusement And Recreation Activities,0
10525,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Sports Activities And Amusement And Recreation Activities,0
10526,Other chemical products,Sports Activities And Amusement And Recreation Activities,0
10527,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",Sports Activities And Amusement And Recreation Activities,0
10528,Petrochemicals - 20.14/16/17/60,Sports Activities And Amusement And Recreation Activities,0
10529,"Dyestuffs, agro-chemicals - 20.12/20",Sports Activities And Amusement And Recreation Activities,0
10530,Basic pharmaceutical products and pharmaceutical preparations,Sports Activities And Amusement And Recreation Activities,0
10531,Rubber and plastic products,Sports Activities And Amusement And Recreation Activities,2
10532,"Cement, lime, plaster and articles of concrete, cement and plaster",Sports Activities And Amusement And Recreation Activities,0
10533,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",Sports Activities And Amusement And Recreation Activities,0
10534,Basic iron and steel,Sports Activities And Amusement And Recreation Activities,0
10535,Other basic metals and casting,Sports Activities And Amusement And Recreation Activities,0
10536,Weapons and ammunition,Sports Activities And Amusement And Recreation Activities,0
10537,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",Sports Activities And Amusement And Recreation Activities,4
10538,"Computer, electronic and optical products",Sports Activities And Amusement And Recreation Activities,33
10539,Electrical equipment,Sports Activities And Amusement And Recreation Activities,3
10540,Machinery and equipment n.e.c.,Sports Activities And Amusement And Recreation Activities,5
10541,"Motor vehicles, trailers and semi-trailers",Sports Activities And Amusement And Recreation Activities,36
10542,Ships and boats,Sports Activities And Amusement And Recreation Activities,0
10543,Air and spacecraft and related machinery,Sports Activities And Amusement And Recreation Activities,0
10544,Other transport equipment - 30.2/4/9,Sports Activities And Amusement And Recreation Activities,0
10545,Furniture,Sports Activities And Amusement And Recreation Activities,0
10546,Other manufactured goods,Sports Activities And Amusement And Recreation Activities,0
10547,Repair and maintenance of ships and boats,Sports Activities And Amusement And Recreation Activities,0
10548,Repair and maintenance of aircraft and spacecraft,Sports Activities And Amusement And Recreation Activities,0
10549,Rest of repair; Installation - 33.11-14/17/19/20,Sports Activities And Amusement And Recreation Activities,0
10550,"Electricity, transmission and distribution",Sports Activities And Amusement And Recreation Activities,0
10551,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,Sports Activities And Amusement And Recreation Activities,0
10552,Natural water; water treatment and supply services,Sports Activities And Amusement And Recreation Activities,0
10553,Sewerage services; sewage sludge,Sports Activities And Amusement And Recreation Activities,0
10554,"Waste collection, treatment and disposal services; materials recovery services",Sports Activities And Amusement And Recreation Activities,0
10555,Remediation services and other waste management services,Sports Activities And Amusement And Recreation Activities,0
10556,Construction,Sports Activities And Amusement And Recreation Activities,1
10557,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Sports Activities And Amusement And Recreation Activities,0
10558,"Wholesale trade services, except of motor vehicles and motorcycles",Sports Activities And Amusement And Recreation Activities,0
10559,"Retail trade services, except of motor vehicles and motorcycles",Sports Activities And Amusement And Recreation Activities,0
10560,Rail transport services,Sports Activities And Amusement And Recreation Activities,0
10561,"Land transport services and transport services via pipelines, excluding rail transport",Sports Activities And Amusement And Recreation Activities,0
10562,Water transport services,Sports Activities And Amusement And Recreation Activities,0
10563,Air transport services,Sports Activities And Amusement And Recreation Activities,0
10564,Warehousing and support services for transportation,Sports Activities And Amusement And Recreation Activities,0
10565,Postal and courier services,Sports Activities And Amusement And Recreation Activities,0
10566,Accommodation services,Sports Activities And Amusement And Recreation Activities,0
10567,Food and beverage serving services,Sports Activities And Amusement And Recreation Activities,0
10568,Publishing services,Sports Activities And Amusement And Recreation Activities,0
10569,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Sports Activities And Amusement And Recreation Activities,53
10570,Telecommunications services,Sports Activities And Amusement And Recreation Activities,0
10571,"Computer programming, consultancy and related services",Sports Activities And Amusement And Recreation Activities,9
10572,Information services,Sports Activities And Amusement And Recreation Activities,4
10573,"Financial services, except insurance and pension funding",Sports Activities And Amusement And Recreation Activities,52
